team_id,fifa_code,model_version,default_formation,attack,midfield,defense,goalkeeping,depth,set_pieces,overall,lineup_player_ids,lineup_roles,confidence_score,uncertainty,is_estimated
ghana,GHA,rating-model-2026.06.24-v1,4-3-3,66,67,67,73,68,69,68,f588529e-3a13-5c53-90aa-c0ec36d6a7ce|8ee0a5b2-b81a-55dd-a255-7a772a156fb8|cda1cf5b-9038-57c5-ab72-f14fd2ac8616|eb7a5a41-d8ea-5f5d-9ee5-ff9fefb3dd07|9835614d-a5bd-5a01-8118-67313a082699|4cf33013-e555-5612-8df5-3ca51bb47b95|7eca10a5-e70b-5f58-918f-b67cafbbb2cc|6d0896c7-5b88-54d8-9345-d8a53d132932|053e3c46-574f-5a7f-9640-c663a523cd5b|74b1fec0-fa61-5be7-9332-3e4c6c30bfb5|0d0ce68a-c196-587f-b686-49ed3d19de7f,GK|FB|CB|CB|FB|DM|CM|AM|WG|ST|WG,0.61,0.39,true
haiti,HAI,rating-model-2026.06.24-v1,4-3-3,67,66,67,71,68,68,67,ab5abe69-c3f8-57f9-b12d-d7d95124d3b9|e6330657-4666-527f-b079-a326e85dc1fe|22584da7-0cce-5a6e-b973-96e9d34f2ab7|7a87a7f7-2574-571d-92e1-f3dceff525a3|92781abd-64cd-5fab-9441-ccb7249bfab7|0269eb67-127d-57ac-bd69-7474d3c7e5ca|08c2e919-cc46-524c-820c-60f83749b88e|4dd5c0df-6d54-5ecb-a51e-8a7786719c03|1a50de5d-ba25-53a3-a329-97a4e1c7cb5d|80a0270c-b738-5fbc-a7cb-1961951d0a02|6507985a-91b1-594d-acaf-289246e3c8b7,GK|FB|CB|CB|FB|DM|CM|AM|WG|ST|WG,0.604,0.396,true
iran,IRN,rating-model-2026.06.24-v1,4-3-3,70,71,69,77,71,72,71,9bc8a059-0d9b-50b3-a65c-ea8625c20d02|185be2ef-1dce-5c1b-9e4a-be66a37c569a|4e661c58-2689-58dd-ac7d-5d345154248f|57e69ead-77ba-543b-b332-e208e1224e42|ed60e79f-3dd5-5dbf-bc16-f0827b1be61c|0214f518-43cd-5287-a448-5fab978b09bf|62e7c1e0-3771-5359-9ed7-15d67d81e343|e001c370-8d1c-5ed7-8d1a-282b4d9270f3|7c5124f8-a126-5af4-b74d-dea7550bb756|b71be385-17e4-5bfe-bb2f-379f200e977c|e110de51-3c23-59b9-be33-f6a7deae5c91,GK|FB|CB|CB|FB|DM|CM|AM|WG|ST|WG,0.658,0.342,true
iraq,IRQ,rating-model-2026.06.24-v1,4-3-3,69,69,68,74,70,70,69,d078ef1a-bd90-58e6-89a1-d8eb9191d1e3|38412ae7-8b88-57a2-8e83-fe45b0c22128|992dee4f-f884-5f97-babc-7e9afed2dcd2|c2fbccad-1fc2-5ffa-851b-d774000f150c|9ce95c8b-f971-5c03-a194-167c924d442b|d76caa59-5abd-5194-9027-837ceadee3a6|1dfb5e01-11a7-570a-b5b2-9021e1ac7428|3d0dd2f5-3cf5-5dcf-ba6e-1ada54f51d74|305d97e5-772b-589f-9023-1a939069bde1|f17cbefb-b8db-5d35-8cfa-bd6b761d163b|2fb225ec-febc-5b65-94ab-d4e8c6335915,GK|FB|CB|CB|FB|DM|CM|AM|WG|ST|WG,0.636,0.364,true
japan,JPN,rating-model-2026.06.24-v1,4-3-3,70,71,70,73,71,71,71,88e32c92-983d-55ef-a80e-267c2d9ee76c|b1a524a5-754a-54cf-93d6-c91ab8f554df|2a38b30e-aae8-5138-b836-8fd505d69e8c|73a0ec20-5feb-5b2b-a39f-b0dbbe5e1e05|0925c064-4017-59de-9ad6-7cf789640993|7e44d1fc-4b33-5481-ab00-9bf825e4349f|e8f1e6fa-f84b-5fa6-95bb-3724b3172296|94b758f7-7514-518e-8f97-98bf327408cb|8a984f0b-6c44-5daf-9dba-c3aa1ffa679a|c37364f8-ea34-5b73-bd50-525431595453|cb61e3b0-0a76-5f09-9f9e-f2aaef0042e0,GK|FB|CB|CB|FB|DM|CM|AM|WG|ST|WG,0.657,0.343,true
jordan,JOR,rating-model-2026.06.24-v1,4-3-3,69,69,68,74,69,70,69,d03103b6-1413-54bf-aa85-14793a94c8e7|3e719851-ae11-550b-a2d8-210832dd1484|dbfbcb9b-34c4-5528-8951-7b1948808a6e|02a9186b-cbf9-519e-ad4e-da60ddc16ee6|1ca3b99c-25a3-5e76-ab33-f098f85b4401|4d947004-c0d2-598d-b0c0-55ac52a00ab2|595576fb-1c41-57fe-8b4c-26aae2a73d18|85bf4f47-ed7f-592d-ac21-040a323fe06a|79c8742c-9c1e-54b8-ae6e-5e730dc0d3dc|1f3521ae-177f-52c5-9861-027f350ac755|3f64488a-b2aa-5aa7-a233-de06ccc0e2bf,GK|FB|CB|CB|FB|DM|CM|AM|WG|ST|WG,0.631,0.369,true
korea-republic,KOR,rating-model-2026.06.24-v1,4-3-3,70,70,69,75,71,71,70,b73e4c60-2b0b-54e0-b8b8-ef6d4fcf3c8d|29eecfde-7750-50c2-8ecb-75c235d00fba|9bb94f19-02aa-57a4-b603-6ba5d2e3fc41|1b0d819c-ae42-5c2a-aa00-8f79b672ded2|1ebc2bcc-f4ab-54c3-966e-abdbc3854d46|128e7d1e-27b3-5d1a-9601-7225b011cc5e|3468dc1b-e207-54c8-a68b-79c5a57c9d9f|a3ce4497-93f0-56b0-b652-b5e9c04e6cd3|772a4e09-61b9-529e-895a-70860c125886|0c667344-4199-5b34-9f5f-d67f61263d87|c8f943b6-b4e0-5609-a560-0f0d624926ff,GK|FB|CB|CB|FB|DM|CM|AM|WG|ST|WG,0.647,0.353,true
mexico,MEX,rating-model-2026.06.24-v1,4-3-3,70,70,70,74,71,71,71,57f6d205-ed0b-56c8-a2ee-f410e88db10e|3745a694-eb3d-50fe-934c-f93c5e408f4c|820e7e9f-332d-5e20-8aa9-34555d4b9983|ae24833e-c5dd-5977-b1a3-21caa6fecaf1|5710bbd3-8daa-5d5c-ab01-87c940673fae|694635d6-d81f-5c20-97ef-48252063fe86|10d3607d-1563-50fc-95bc-a3784955b144|ebe264fb-28c1-5426-857c-21d9ffee9d97|323675bd-2918-5c38-b5b6-5e4f0248cb3b|d327c94b-ce46-50c1-b6c8-3c087cc93645|4d24f300-14c4-5ec6-9460-a9957a5b7e16,GK|FB|CB|CB|FB|DM|CM|AM|WG|ST|WG,0.662,0.338,true
morocco,MAR,rating-model-2026.06.24-v1,4-3-3,70,70,70,77,71,72,71,7cfeea61-7185-5495-b508-8ee096dd4885|9306d483-1c76-5a66-bcb3-9a0b1756b035|a2025baa-a8d4-5c7a-9880-0c4fd404ee9d|077f017b-3ddc-51e8-a8e5-bf2ad7d70d72|18e33736-513a-5dcb-af08-379eabcc8c4f|4118eb4e-9168-5dd4-b326-7f75a7e49229|496806b4-84a7-5170-b335-3f59ef4ea745|a57d0a8c-9f01-59e9-a9f0-9733dbbb05a7|98fa4bd9-86a3-5730-920c-7e0f016013c1|d5a0c263-28f1-54e3-aee8-a11115ecbe39|99dfbb87-405b-5318-bad9-23bd07eb741f,GK|FB|CB|CB|FB|DM|CM|AM|WG|ST|WG,0.649,0.351,true
netherlands,NED,rating-model-2026.06.24-v1,4-3-3,71,70,70,75,71,72,71,41676441-e6e3-5323-a50f-c317ef629ba5|0c87b200-7ca6-58b2-b05e-201fa3a1bbd1|bda9cbe4-80b1-5cd7-8c2a-735969f323a9|2365c5eb-987d-519e-b46e-d129e4397fa3|6ea828ff-9b72-5f50-a50b-3ca73e09e3b1|44ccc5a5-f77f-5572-acba-012d5fbe475f|4c417572-b445-5368-817c-6845ad1f9579|8ff372e7-68aa-5015-9a88-96afc51b34af|622504c2-5aed-5d51-86c3-8fa0af9de1df|1d51e2a8-0ff1-5249-8323-73e1c74a245f|714131fb-60e9-5914-af58-b06a1b5d46da,GK|FB|CB|CB|FB|DM|CM|AM|WG|ST|WG,0.664,0.336,true
